,Method3,lambdas
0,0.7294999957084656,0.0
1,0.8090999722480774,75117.9714047743
2,0.8087999820709229,77709.42226160638
3,0.8087000250816345,78039.22801957786
4,0.8086000084877014,78417.66474212382
5,0.8083999752998352,79633.20548875188
6,0.8087000250816345,80230.05305292974
7,0.8090000152587891,81959.23462734491
8,0.809499979019165,85612.93976872832
9,0.810699999332428,88585.12354477413
10,0.8050000071525574,89377.33323568125
11,0.805400013923645,91768.72711816947
12,0.8059999942779541,95646.3188776262
13,0.8064000010490417,96119.40330799759
14,0.8065000176429749,97283.04885780659
15,0.7188000082969666,0.0
16,0.7694000005722046,75117.9714047743
17,0.7700999975204468,77709.42226160638
18,0.7700999975204468,78039.22801957786
19,0.7699999809265137,78417.66474212382
20,0.7702000141143799,79633.20548875188
21,0.7702999711036682,80230.05305292974
22,0.7705000042915344,81959.23462734491
23,0.7785000205039978,85612.93976872832
24,0.7785999774932861,88585.12354477413
25,0.7789999842643738,89377.33323568125
26,0.7793999910354614,91768.72711816947
27,0.7810999751091003,95646.3188776262
28,0.7813000082969666,96119.40330799759
29,0.7817000150680542,97283.04885780659
30,0.7193999886512756,0.0
31,0.7628999948501587,75117.9714047743
32,0.7635999917984009,77709.42226160638
33,0.7634999752044678,78039.22801957786
34,0.763700008392334,78417.66474212382
35,0.7638999819755554,79633.20548875188
36,0.76419997215271,80230.05305292974
37,0.7646999955177307,81959.23462734491
38,0.7656999826431274,85612.93976872832
39,0.7663999795913696,88585.12354477413
40,0.7667999863624573,89377.33323568125
41,0.7667999863624573,91768.72711816947
42,0.7670999765396118,95646.3188776262
43,0.767300009727478,96119.40330799759
44,0.7675999999046326,97283.04885780659
45,0.7264000177383423,0.0
46,0.7878999710083008,75117.9714047743
47,0.7882000207901001,77709.42226160638
48,0.7882999777793884,78039.22801957786
49,0.7882999777793884,78417.66474212382
50,0.7879999876022339,79633.20548875188
51,0.7882999777793884,80230.05305292974
52,0.7889999747276306,81959.23462734491
53,0.7896999716758728,85612.93976872832
54,0.7910000085830688,88585.12354477413
55,0.7911999821662903,89377.33323568125
56,0.7918999791145325,91768.72711816947
57,0.7871000170707703,95646.3188776262
58,0.7871999740600586,96119.40330799759
59,0.7871000170707703,97283.04885780659
60,0.7177000045776367,0.0
61,0.7717000246047974,75117.9714047743
62,0.7717999815940857,77709.42226160638
63,0.7717999815940857,78039.22801957786
64,0.7717999815940857,78417.66474212382
65,0.7723000049591064,79633.20548875188
66,0.772599995136261,80230.05305292974
67,0.7728000283241272,81959.23462734491
68,0.7732999920845032,85612.93976872832
69,0.7736999988555908,88585.12354477413
70,0.7738000154495239,89377.33323568125
71,0.7739999890327454,91768.72711816947
72,0.7752000093460083,95646.3188776262
73,0.7753000259399414,96119.40330799759
74,0.7754999995231628,97283.04885780659
75,0.7246999740600586,0.0
76,0.784500002861023,75117.9714047743
77,0.7846999764442444,77709.42226160638
78,0.7846999764442444,78039.22801957786
79,0.7846999764442444,78417.66474212382
80,0.784600019454956,79633.20548875188
81,0.785099983215332,80230.05305292974
82,0.7851999998092651,81959.23462734491
83,0.7861999869346619,85612.93976872832
84,0.7867000102996826,88585.12354477413
85,0.7871999740600586,89377.33323568125
