,Method3,lambdas
0,0.8185999989509583,201179.71404774312
1,0.8258000016212463,227094.22261606378
2,0.8259000182151794,230392.28019577856
3,0.8260999917984009,234176.64742123825
4,0.8263000249862671,246332.05488751875
5,0.8266000151634216,252300.5305292974
6,0.8276000022888184,269592.3462734491
7,0.8220999836921692,306129.3976872833
8,0.823199987411499,335851.23544774135
9,0.823199987411499,343773.3323568125
10,0.824400007724762,367687.27118169464
11,0.817799985408783,406463.1887762619
12,0.8179000020027161,411194.03307997587
13,0.817799985408783,422830.48857806606
14,0.7921000123023987,201179.71404774312
15,0.7949000000953674,227094.22261606378
16,0.795199990272522,230392.28019577856
17,0.795199990272522,234176.64742123825
18,0.7940999865531921,246332.05488751875
19,0.7940000295639038,252300.5305292974
20,0.7954999804496765,269592.3462734491
21,0.7965999841690063,306129.3976872833
22,0.7972999811172485,335851.23544774135
23,0.7976999878883362,343773.3323568125
24,0.7986000180244446,367687.27118169464
25,0.7994999885559082,406463.1887762619
26,0.7993000149726868,411194.03307997587
27,0.7996000051498413,422830.48857806606
28,0.8019999861717224,201179.71404774312
29,0.8033000230789185,227094.22261606378
30,0.8033999800682068,230392.28019577856
31,0.8033999800682068,234176.64742123825
32,0.8041999936103821,246332.05488751875
33,0.8044999837875366,252300.5305292974
34,0.8057000041007996,269592.3462734491
35,0.8212000131607056,306129.3976872833
36,0.8223999738693237,335851.23544774135
37,0.822700023651123,343773.3323568125
38,0.823199987411499,367687.27118169464
39,0.8335000276565552,406463.1887762619
40,0.8335000276565552,411194.03307997587
41,0.8339999914169312,422830.48857806606
42,0.8098000288009644,201179.71404774312
43,0.8129000067710876,227094.22261606378
44,0.8130999803543091,230392.28019577856
45,0.8137000203132629,234176.64742123825
46,0.8140000104904175,246332.05488751875
47,0.8144999742507935,252300.5305292974
48,0.8155999779701233,269592.3462734491
49,0.8162999749183655,306129.3976872833
50,0.8163999915122986,335851.23544774135
51,0.8159999847412109,343773.3323568125
52,0.8115000128746033,367687.27118169464
53,0.8122000098228455,406463.1887762619
54,0.8122000098228455,411194.03307997587
55,0.8119000196456909,422830.48857806606
56,0.7924000024795532,201179.71404774312
57,0.7930999994277954,227094.22261606378
58,0.7930999994277954,230392.28019577856
59,0.7932999730110168,234176.64742123825
60,0.7942000031471252,246332.05488751875
61,0.7946000099182129,252300.5305292974
62,0.7953000068664551,269592.3462734491
63,0.7886000275611877,306129.3976872833
64,0.7843000292778015,335851.23544774135
65,0.784500002861023,343773.3323568125
66,0.785099983215332,367687.27118169464
67,0.8043000102043152,406463.1887762619
68,0.8046000003814697,411194.03307997587
69,0.8055999875068665,422830.48857806606
70,0.7968000173568726,201179.71404774312
71,0.7979000210762024,227094.22261606378
72,0.7979000210762024,230392.28019577856
73,0.79830002784729,234176.64742123825
74,0.7985000014305115,246332.05488751875
75,0.7993999719619751,252300.5305292974
76,0.7975000143051147,269592.3462734491
77,0.7986000180244446,306129.3976872833
78,0.8025000095367432,335851.23544774135
79,0.8027999997138977,343773.3323568125
80,0.804099977016449,367687.27118169464
81,0.8044999837875366,406463.1887762619
82,0.8047000169754028,411194.03307997587
83,0.8050000071525574,422830.48857806606
84,0.8277999758720398,201179.71404774312
85,0.8296999931335449,227094.22261606378
86,0.8299999833106995,230392.28019577856
87,0.8296999931335449,234176.64742123825
88,0.8310999870300293,246332.05488751875
89,0.8345000147819519,252300.5305292974
90,0.8352000117301941,269592.3462734491
91,0.8364999890327454,306129.3976872833
92,0.8352000117301941,335851.23544774135
93,0.8349999785423279,343773.3323568125
94,0.8360000252723694,367687.27118169464
95,0.8378000259399414,406463.1887762619
96,0.8378000259399414,411194.03307997587
97,0.8382999897003174,422830.48857806606
98,0.7882999777793884,201179.71404774312
99,0.7906000018119812,227094.22261606378
100,0.7911999821662903,230392.28019577856
101,0.7915999889373779,234176.64742123825
102,0.791700005531311,246332.05488751875
103,0.7924000024795532,252300.5305292974
104,0.8061000108718872,269592.3462734491
105,0.8165000081062317,306129.3976872833
106,0.8194000124931335,335851.23544774135
107,0.8192999958992004,343773.3323568125
108,0.8202999830245972,367687.27118169464
109,0.7996000051498413,406463.1887762619
110,0.7998999953269958,411194.03307997587
111,0.7998999953269958,422830.48857806606
112,0.830299973487854,201179.71404774312
113,0.8310999870300293,227094.22261606378
114,0.8310999870300293,230392.28019577856
115,0.8310999870300293,234176.64742123825
116,0.8314999938011169,246332.05488751875
117,0.8313000202178955,252300.5305292974
118,0.8313999772071838,269592.3462734491
119,0.8330000042915344,306129.3976872833
120,0.8334000110626221,335851.23544774135
121,0.8335000276565552,343773.3323568125
122,0.8339999914169312,367687.27118169464
123,0.8345999717712402,406463.1887762619
124,0.8346999883651733,411194.03307997587
125,0.8345999717712402,422830.48857806606
126,0.7731000185012817,201179.71404774312
127,0.7756999731063843,227094.22261606378
128,0.7757999897003174,230392.28019577856
129,0.7759000062942505,234176.64742123825
130,0.7767000198364258,246332.05488751875
131,0.7768999934196472,252300.5305292974
132,0.7768999934196472,269592.3462734491
133,0.7781000137329102,306129.3976872833
134,0.7778000235557556,335851.23544774135
135,0.7781000137329102,343773.3323568125
136,0.777899980545044,367687.27118169464
137,0.777899980545044,406463.1887762619
138,0.7782999873161316,411194.03307997587
139,0.777899980545044,422830.48857806606
